,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,B27002_001E,Total Race Population,B03001_003E,White,Black or African American,America Native,Asian,Native Pacific,Other,Two or More,Two or More Inclusive,Three or More,state,ZIP_CODE
323,ZCTA5 01562,72821.0,11928.0,45.7,34389.0,969.0,11928.0,11928.0,395.0,11129.0,115.0,0.0,415.0,0.0,0.0,269.0,0.0,269.0,25,01562
324,ZCTA5 01564,121458.0,8091.0,46.8,54066.0,229.0,8036.0,8091.0,410.0,7815.0,105.0,0.0,35.0,0.0,50.0,86.0,39.0,47.0,25,01564
325,ZCTA5 01566,86731.0,5592.0,46.3,42860.0,286.0,5592.0,5592.0,183.0,5200.0,74.0,0.0,143.0,0.0,152.0,23.0,0.0,23.0,25,01566
326,ZCTA5 01568,128796.0,7894.0,42.4,56909.0,199.0,7886.0,7894.0,281.0,6492.0,600.0,0.0,229.0,0.0,58.0,515.0,55.0,460.0,25,01568
327,ZCTA5 01569,107740.0,14025.0,42.4,41546.0,1069.0,13968.0,14025.0,239.0,13477.0,259.0,0.0,65.0,0.0,94.0,130.0,0.0,130.0,25,01569
328,ZCTA5 01570,62281.0,16973.0,42.2,32001.0,1582.0,16630.0,16973.0,2049.0,14265.0,835.0,26.0,218.0,0.0,1196.0,433.0,134.0,299.0,25,01570
329,ZCTA5 01571,69071.0,11723.0,38.4,31747.0,594.0,11723.0,11723.0,423.0,10642.0,229.0,54.0,390.0,0.0,128.0,280.0,13.0,267.0,25,01571
330,ZCTA5 01581,112153.0,19037.0,38.8,55718.0,870.0,18716.0,19037.0,1184.0,13298.0,370.0,112.0,4762.0,0.0,230.0,265.0,34.0,231.0,25,01581
331,ZCTA5 01583,90688.0,7693.0,42.2,35560.0,523.0,5634.0,7693.0,951.0,6829.0,461.0,14.0,147.0,0.0,89.0,153.0,32.0,121.0,25,01583
332,ZCTA5 01585,63182.0,4569.0,46.2,34634.0,185.0,4424.0,4569.0,127.0,4398.0,9.0,59.0,0.0,0.0,60.0,43.0,0.0,43.0,25,01585
333,ZCTA5 01588,76250.0,9750.0,38.1,34749.0,560.0,9639.0,9750.0,615.0,8577.0,265.0,47.0,154.0,0.0,134.0,573.0,55.0,518.0,25,01588
